,Close_x,Close_y,Signals
0,325.4800109863281,208.0,0
1,326.4649963378906,207.4199981689453,0
2,322.0,207.2595977783203,1
3,321.1600036621094,205.02999877929688,-1
4,322.2250061035156,205.00999450683594,0
5,321.3699951171875,203.71299743652344,0
6,320.7699890136719,202.7899932861328,0
7,319.989990234375,202.32000732421875,0
8,321.00830078125,203.50999450683594,0
9,319.2174987792969,203.94630432128906,1
10,322.5779113769531,203.73809814453125,0
11,319.8800048828125,203.49000549316406,0
12,319.84649658203125,203.16000366210938,-1
13,320.4100036621094,202.06370544433594,0
14,319.9700012207031,202.22999572753906,0
15,320.3299865722656,202.9199981689453,0
16,319.5400085449219,202.49000549316406,0
17,318.9800109863281,201.875,0
18,316.66839599609375,201.17999267578125,1
19,317.0950012207031,200.83999633789062,0
20,317.8699951171875,199.97999572753906,-1
21,318.94500732421875,200.97999572753906,0
22,320.4100036621094,201.34950256347656,0
23,320.2200012207031,201.05340576171875,0
24,319.364990234375,200.74000549316406,0
25,318.80999755859375,201.25999450683594,0
26,319.7799987792969,201.44000244140625,0
27,318.0,201.1199951171875,1
28,318.4599914550781,201.52000427246094,0
29,318.3399963378906,201.83140563964844,-1
30,318.3550109863281,201.14999389648438,0
31,316.56500244140625,200.38670349121094,1
32,316.760009765625,200.88999938964844,-1
33,315.82000732421875,200.50999450683594,0
34,316.3550109863281,201.22999572753906,0
35,315.75,200.89999389648438,0
36,315.9800109863281,200.875,0
37,316.94000244140625,201.77000427246094,0
38,316.05999755859375,200.77999877929688,1
39,316.5299987792969,201.01499938964844,0
40,315.8900146484375,201.02999877929688,0
41,317.07000732421875,201.3699951171875,-1
42,315.868408203125,201.25,1
43,316.5400085449219,201.7899932861328,-1
44,316.74371337890625,202.19500732421875,0
45,318.0,202.25,0
46,318.3900146484375,202.39999389648438,0
47,317.57000732421875,201.82000732421875,1
48,317.8699951171875,202.0500030517578,0
49,318.7699890136719,201.9199981689453,0
50,318.3399963378906,202.22000122070312,-1
51,318.70001220703125,202.22999572753906,0
52,317.3900146484375,201.27999877929688,1
53,316.5899963378906,201.33999633789062,0
54,316.5150146484375,200.92990112304688,-1
55,314.67999267578125,200.21499633789062,1
56,314.80999755859375,199.75999450683594,-1
57,315.0400085449219,199.3800048828125,0
58,314.7300109863281,199.3800048828125,0
59,315.260009765625,200.11000061035156,0
60,315.82000732421875,200.47999572753906,0
61,315.9100036621094,200.5399932861328,0
62,315.0,200.00999450683594,1
63,315.0,200.13999938964844,0
64,315.5165100097656,199.97999572753906,0
65,314.7799987792969,199.0800018310547,1
66,314.6700134277344,198.56790161132812,-1
67,314.55499267578125,199.14999389648438,0
68,313.7200012207031,198.1300048828125,1
69,313.70001220703125,198.6999969482422,-1
70,314.20001220703125,198.6999969482422,0
71,314.510009765625,199.64979553222656,0
72,315.2099914550781,199.75,0
73,314.8399963378906,199.83999633789062,0
74,315.73870849609375,200.28990173339844,0
75,315.6449890136719,200.38499450683594,0
76,315.25,199.77999877929688,0
77,315.6300048828125,200.09500122070312,0
78,315.8399963378906,199.9499969482422,0
79,315.5199890136719,199.77999877929688,0
80,315.1199951171875,199.8000030517578,0
81,314.860107421875,199.88999938964844,0
82,317.0400085449219,200.0,0
83,316.25,200.11000061035156,0
84,316.6499938964844,200.0,0
