,Datetime,Close_x,Close_y,Signals
0,2022-04-06 09:30:00-04:00,208.0,325.4800109863281,0
1,2022-04-06 09:31:00-04:00,207.4199981689453,326.4649963378906,0
2,2022-04-06 09:32:00-04:00,207.2595977783203,322.0,0
3,2022-04-06 09:33:00-04:00,205.02999877929688,321.1600036621094,1
4,2022-04-06 09:34:00-04:00,205.00999450683594,322.2250061035156,0
5,2022-04-06 09:35:00-04:00,203.71299743652344,321.3699951171875,0
6,2022-04-06 09:36:00-04:00,202.7899932861328,320.7699890136719,0
7,2022-04-06 09:37:00-04:00,202.32000732421875,319.989990234375,0
8,2022-04-06 09:38:00-04:00,203.50999450683594,321.00830078125,0
9,2022-04-06 09:39:00-04:00,203.94630432128906,319.2174987792969,-1
10,2022-04-06 09:40:00-04:00,203.73809814453125,322.5779113769531,0
11,2022-04-06 09:41:00-04:00,203.49000549316406,319.8800048828125,0
12,2022-04-06 09:42:00-04:00,203.16000366210938,319.84649658203125,0
13,2022-04-06 09:43:00-04:00,202.06370544433594,320.4100036621094,1
14,2022-04-06 09:44:00-04:00,202.22999572753906,319.9700012207031,0
15,2022-04-06 09:45:00-04:00,202.9199981689453,320.3299865722656,0
16,2022-04-06 09:46:00-04:00,202.49000549316406,319.5400085449219,0
17,2022-04-06 09:47:00-04:00,201.875,318.9800109863281,-1
18,2022-04-06 09:48:00-04:00,201.17999267578125,316.66839599609375,0
19,2022-04-06 09:49:00-04:00,200.83999633789062,317.0950012207031,0
20,2022-04-06 09:50:00-04:00,199.97999572753906,317.8699951171875,1
21,2022-04-06 09:51:00-04:00,200.97999572753906,318.94500732421875,-1
22,2022-04-06 09:52:00-04:00,201.34950256347656,320.4100036621094,0
23,2022-04-06 09:53:00-04:00,201.05340576171875,320.2200012207031,0
24,2022-04-06 09:54:00-04:00,200.74000549316406,319.364990234375,0
25,2022-04-06 09:55:00-04:00,201.25999450683594,318.80999755859375,0
26,2022-04-06 09:56:00-04:00,201.44000244140625,319.7799987792969,0
27,2022-04-06 09:57:00-04:00,201.1199951171875,318.0,0
28,2022-04-06 09:58:00-04:00,201.52000427246094,318.4599914550781,0
